category,count
Schools,1226
Vehicle Services,539
Home and Garden,349
Jewellery,324
Industrial Services,314
General Office Services,307
Advertising,305
Farming,305
Construction,292
Logistics,251
Printing,244
Internet Service Providers,228
Financial Activity,208
Insurance Companies,208
Clothing and Accessories,207
Audit and Accounting,192
Retail Services,191
Cleaning Equipment & Services,190
Chemicals,184
Hotels,178
General Business,177
Air Transport,174
Shipping & Port Agent,173
Secretarial Services,172
Arts and Crafts,169
Civil Engineering,166
Packaging Solutions,165
Carpet & Rug Dealers-New,151
Textile,148
Building Materials,147
Plastic Products,146
Headwear,141
Diamond dealersart dealers,135
Construction companies,120
Engineers,119
Car Parts and Accessories,118
Energy Suppliers,116
Consultants,111
Hardware Stores,105
Agriculture,104
Religion,103
Stationery,102
Solar Energy,99
Advertising Agencies,98
Construction Services,98
Leisure,97
Web Design,96
Doctors and Clinics,88
Banks,87
Credit Unions,87
Security Services,84
Wood Products,84
Agricultural Supplies,82
Steel Products,81
Lodgeslodgessafari lodges,73
Solar energy equipment,72
Food Retailers,72
Car Rental,71
Graphic Design,68
Web Development,66
Business Management Consulting,63
Apartments,63
Tax Consultants,62
Guest Houses,59
Transport,59
Engineering,57
Aluminium,56
Investment Companies,56
Software Applications,55
Small Business,53
Networking,53
Communications,52
Marketing,52
Vehicle Sales,52
Event Services,51
Health Care,50
Restaurants,49
Education,48
Zambia,47
Web Services,47
Human Resources,46
Accommodation,45
Doors,44
Garage,44
Travel Agents,44
Information Technology,44
Electrical Goods,43
Brand Management,41
Real Estate Agents,41
Tour Operators,39
Mobile Phone Shops,39
Weddings,38
Market Research,36
Conferences,36
Social Media,33
Online Advertising,31
Health and Safety,29
Computer Software Solution,29
Security,29
Motor car repairs,29
Shopping Centres,29
Wine and Beer,28
Environmental Services,27
Brokers,27
Film,27
Software,27
Digital Media,27
Computer Consumables,26
Take Aways,26
Pubs and Clubs,26
Auto centres,26
Associations,25
Graphic design,25
Computer Networking,25
Computers,25
digital marketing,25
Television and Video,24
Photography,23
Training,23
Medical Equipment,22
Electrical Service,22
Online Content,22
Logo Design,21
Ecommerce,21
Branding,21
Web Hosting,20
Legal Services,20
Industrial Supplies,20
Stationery suppliers,20
Lusaka,20
Welfare,20
Whisky and Spirits,20
