sector,latest_index,latest_date,yoy_change_pct,recent_trend_pct,status
Monthly Non-Food Inflation,3.0,2025-12-01,233.33333333333334,583.3333333333331,Rising
Tomatoes,17.89,2025-12-01,37.61538461538462,-9.724673490998939,Rising
Rape Vegetable,12.56,2025-12-01,23.37917485265227,6.491545893719825,Rising
Food and non-alcoholic beverages,608.1,2025-12-01,12.93737463784265,1.6615916062426235,Rising
Miscellaneous goods and services,388.55,2025-12-01,9.710300429184544,1.8276050190943842,Rising
"Housing, water,electricity, gas and other fuels",549.45,2025-12-01,9.65096090522662,1.7482386682461548,Rising
Alcoholic beverages and Tobacco,366.32,2025-12-01,9.552006698965249,2.087971711351007,Rising
Restaurants and hotels,360.53,2025-12-01,9.487078259285113,2.093235484238937,Rising
Transport,721.35,2025-12-01,9.295454545454549,5.358228122374123,Rising
Dried Kapenta Siavonga,397.39,2025-12-01,8.903809262811732,-1.1625161799783292,Rising
Health,371.6,2025-12-01,8.747183284071301,1.592234077659245,Rising
Clothing and Footwear,420.92,2025-12-01,8.403512838342474,1.8344824225887328,Rising
Education,301.72,2025-12-01,7.865007865007864,0.19262916671280794,Rising
Recreation and Culture,400.19,2025-12-01,7.2148100519744975,1.909305838874043,Rising
"Furnishings, household equipment and routine maintenance of the house",414.4,2025-12-01,6.395542889419489,1.5689655172413945,Rising
Dried Kapenta Mpulungu,334.9,2025-12-01,5.576747265218625,-5.272477955666133,Rising
Communications,155.3,2025-12-01,5.295274255881756,1.6028104072894966,Rising
Petrol,29.92,2025-12-01,-11.190264173345195,5.03639351960554,Falling
Paraffin,24.73,2025-12-01,-12.95318549806406,5.672748004561009,Falling
Breakfast Mealie Meal,286.7,2025-12-01,-16.20879120879122,3.290134619248549,Falling
Diesel,27.01,2025-12-01,-16.40359021974621,10.213243546576876,Falling
Roller Mealie Meal,225.97,2025-12-01,-23.00064742563125,3.2039854841790465,Falling
Maize Grain,138.85,2025-12-01,-25.12806686438393,12.975573005708322,Falling
Annual Food Inflation,12.9,2025-12-01,-30.645161290322587,-8.705357142857158,Falling
Annual Non-food Inflation,8.7,2025-12-01,-38.732394366197184,-14.28571428571429,Falling
Monthly Food Inflation,0.6,2025-12-01,-57.14285714285714,28.571428571428605,Falling
