"indicator","region","Unit","Date","Value"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M1","105.11"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M2","104.53"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M3","104.87"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M4","105.86"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M5","103.12"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M6","103.04"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M7","103.53"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M8","104.52"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M9","104.11"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M10","104.94"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M11","105.08"
"Alcoholic beverages and Tobacco","Zambia","Index","2010M12","106.98"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M1","106.6"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M2","107.29"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M3","107.05"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M4","108.95"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M5","108.33"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M6","108.49"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M7","108.52"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M8","108.32"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M9","108.09"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M10","109.74"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M11","109.33"
"Alcoholic beverages and Tobacco","Zambia","Index","2011M12","109.15"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M1","109.1115"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M2","110.4071"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M3","110.7691"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M4","111.605"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M5","111.9164"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M6","112.3767"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M7","114.1647"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M8","113.7189"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M9","114.4158"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M10","113.8533"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M11","114.7542"
"Alcoholic beverages and Tobacco","Zambia","Index","2012M12","115.6138"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M1","116.5684"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M2","117.3285"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M3","117.5502"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M4","118.3749"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M5","119.2254"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M6","119.8048"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M7","119.9438"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M8","120.5899"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M9","120.686"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M10","121.2585"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M11","122.3782"
"Alcoholic beverages and Tobacco","Zambia","Index","2013M12","123.5237"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M1","129.3344"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M2","131.6545"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M3","133.8989"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M4","134.8919"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M5","136.1006"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M6","136.2933"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M7","136.8016"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M8","137.5274"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M9","137.6858"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M10","138.2926"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M11","138.5935"
"Alcoholic beverages and Tobacco","Zambia","Index","2014M12","139.3697"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M1","139.982"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M2","139.667"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M3","140.0291"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M4","140.9406"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M5","141.4448"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M6","141.5956"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M7","143.1611"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M8","143.9407"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M9","144.9385"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M10","151.5314"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M11","159.5539"
"Alcoholic beverages and Tobacco","Zambia","Index","2015M12","160.4921"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M1","162.3511"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M2","166.2919"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M3","168.496"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M4","170.5781"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M5","172.3909"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M6","173.1649"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M7","173.8267"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M8","174.5201"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M9","174.4702"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M10","174.3562"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M11","175.2274"
"Alcoholic beverages and Tobacco","Zambia","Index","2016M12","177.7645"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M1","178.3841"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M2","180.4448"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M3","180.2746"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M4","179.0722"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M5","180.1116"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M6","179.3884"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M7","179.6789"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M8","180.9495"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M9","182.4242"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M10","182.5766"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M11","184.4157"
"Alcoholic beverages and Tobacco","Zambia","Index","2017M12","184.4103"
"Alcoholic beverages and Tobacco","Zambia","Index","2018M1","185.35"
"Alcoholic beverages and Tobacco","Zambia","Index","2018M2","185.91"
