Copper_Price_USD,Volume,Date
3.3376578908217582,5475,2010-01-01
3.119184230503283,49646,2010-02-01
3.3954130359317944,12758,2010-03-01
3.5191904590243386,54725,2010-04-01
3.105774998664856,11171,2010-05-01
2.9370681697672065,37143,2010-06-01
3.0642619019462947,10496,2010-07-01
3.31981821493669,57433,2010-08-01
3.5179761932009743,10773,2010-09-01
3.773119086310977,5384,2010-10-01
3.8420714423769997,50202,2010-11-01
4.169727292927829,12925,2010-12-01
4.34427502155304,5838,2011-01-01
4.491657884497392,88526,2011-02-01
4.319543506788171,15448,2011-03-01
4.304374957084656,55582,2011-04-01
4.0555714312053865,11095,2011-05-01
4.109136321327903,47245,2011-06-01
4.401250004768372,11949,2011-07-01
4.078565193259197,44262,2011-08-01
3.7377619175683883,12103,2011-09-01
3.3435952436356318,5452,2011-10-01
3.4421904654729936,69295,2011-11-01
3.4320714133126393,10281,2011-12-01
3.668650007247925,4806,2012-01-01
3.845824992656708,78925,2012-02-01
3.8394772464578804,14890,2012-03-01
3.7191749811172485,89539,2012-04-01
3.570340882648121,15130,2012-05-01
3.34759521484375,72843,2012-06-01
3.439023801258632,13855,2012-07-01
3.4180217307546865,67242,2012-08-01
3.7186578825900427,12918,2012-09-01
3.6967856997535344,4292,2012-10-01
3.5035952499934604,70565,2012-11-01
3.6236250162124635,9780,2012-12-01
3.6673809460231235,7930,2013-01-01
3.666447350853368,78196,2013-02-01
3.466474974155426,11148,2013-03-01
3.2771818095987495,79129,2013-04-01
3.2990227287465874,12913,2013-05-01
3.179449999332428,96990,2013-06-01
3.1422499960119072,11348,2013-07-01
3.2818181839856235,66202,2013-08-01
3.2732749938964845,10468,2013-09-01
3.2823260867077373,6049,2013-10-01
3.216350018978119,70554,2013-11-01
3.3416905062539235,12734,2013-12-01
3.3551428545088995,6211,2014-01-01
3.2854473716334294,49366,2014-02-01
3.0723809628259566,10763,2014-03-01
3.0693333262488958,43361,2014-04-01
3.132023822693598,9062,2014-05-01
3.0978571346827914,49810,2014-06-01
3.22590912472118,8382,2014-07-01
3.15764281863258,36634,2014-08-01
3.091952392033168,10021,2014-09-01
3.036152165869008,5508,2014-10-01
3.017605241976286,72189,2014-11-01
2.8980909152464434,7827,2014-12-01
2.653224992752075,7331,2015-01-01
2.623631565194381,59404,2015-02-01
2.7079318219965156,12915,2015-03-01
2.7527619089399065,40379,2015-04-01
2.89337500333786,12419,2015-05-01
2.675340912558816,42969,2015-06-01
2.482204556465149,14929,2015-07-01
2.333214294342768,55373,2015-08-01
2.370571431659517,12924,2015-09-01
2.3678636334159155,6702,2015-10-01
2.1553750038146973,78234,2015-11-01
2.082159096544439,12487,2015-12-01
2.0094473424710726,8215,2016-01-01
2.0750500202178954,54658,2016-02-01
2.2315908778797495,11551,2016-03-01
2.1828809806278775,53234,2016-04-01
2.1114285786946616,12774,2016-05-01
2.097704540599476,51990,2016-06-01
2.207324981689453,12561,2016-07-01
2.1409565469493037,36717,2016-08-01
2.137523810068766,14058,2016-09-01
2.1375749826431276,6696,2016-10-01
2.4643749952316285,102156,2016-11-01
2.5668333030882335,12458,2016-12-01
2.618625009059906,9625,2017-01-01
2.6942631570916427,74239,2017-02-01
2.641217376874841,13947,2017-03-01
2.5862631295856677,81019,2017-04-01
2.549022739583796,14706,2017-05-01
2.6019318212162363,53936,2017-06-01
2.7288250088691712,12888,2017-07-01
2.958782621051954,154449,2017-08-01
2.9840500235557554,26439,2017-09-01
3.095590916546908,11021,2017-10-01
3.094166642143613,100589,2017-11-01
3.0982499957084655,17349,2017-12-01
3.194699990749359,10321,2018-01-01
3.16744737876089,78844,2018-02-01
3.066833348501296,16222,2018-03-01
3.087642862683251,83396,2018-04-01
3.064022725278681,17452,2018-05-01
3.117142847606114,79824,2018-06-01
2.7912618886856806,18177,2018-07-01
2.6938695492951767,83891,2018-08-01
2.6923157666858875,17187,2018-09-01
2.7593478327212124,11464,2018-10-01
2.7509762105487643,66757,2018-11-01
2.721026295109799,15856,2018-12-01
2.682380960101173,8733,2019-01-01
2.8556579037716516,78278,2019-02-01
2.8997381301153276,12977,2019-03-01
2.9200714429219565,78113,2019-04-01
2.7428181821649726,13522,2019-05-01
2.6784250140190125,70044,2019-06-01
2.686568184332414,15548,2019-07-01
2.572431813586842,84170,2019-08-01
2.5974000215530397,15350,2019-09-01
2.6116521669470747,10037,2019-10-01
2.6546250104904177,89370,2019-11-01
2.7702857085636685,15237,2019-12-01
2.7496666340600875,8696,2020-01-01
2.58381576287119,87881,2020-02-01
2.3671363483775747,14253,2020-03-01
2.3063095183599565,37788,2020-04-01
2.38714998960495,9366,2020-05-01
2.5980454574931753,50362,2020-06-01
2.8659999912435357,14558,2020-07-01
2.9175237814585366,67783,2020-08-01
3.0230238210587275,13064,2020-09-01
3.0569545464082197,8811,2020-10-01
3.203374981880188,76284,2020-11-01
3.5347045118158515,17277,2020-12-01
3.6231842041015625,13114,2021-01-01
3.8612631747597144,103789,2021-02-01
4.088282574778018,16894,2021-03-01
4.247833365485782,67171,2021-04-01
4.63534996509552,16428,2021-05-01
4.398318182338368,50263,2021-06-01
4.354785714830671,13038,2021-07-01
4.292295455932617,41164,2021-08-01
4.265380950201125,15652,2021-09-01
4.451119082314627,11041,2021-10-01
4.365738142104376,65606,2021-11-01
4.332999988035723,16199,2021-12-01
4.431124973297119,18771,2022-01-01
4.502105286246852,75732,2022-02-01
4.682282613671345,20263,2022-03-01
4.637624979019165,38981,2022-04-01
4.24928567523048,17425,2022-05-01
4.125404732567923,40767,2022-06-01
3.3961000084877013,12369,2022-07-01
3.615000009536743,39351,2022-08-01
3.48021430060977,13088,2022-09-01
3.4738571303231374,8995,2022-10-01
3.6768333457765126,48806,2022-11-01
3.8164523669651578,13818,2022-12-01
4.122324979305267,10875,2023-01-01
4.088236833873548,71268,2023-02-01
4.04915215658105,15059,2023-03-01
4.000368406898097,52351,2023-04-01
3.741727276281877,13548,2023-05-01
3.7959761960165843,34713,2023-06-01
3.8357000231742857,14797,2023-07-01
3.763304316479227,51432,2023-08-01
3.7229250192642214,16135,2023-09-01
3.599636359648271,10625,2023-10-01
3.7211136384443804,50776,2023-11-01
3.8515249848365785,15971,2023-12-01
3.8120714255741666,9910,2024-01-01
3.796625006198883,39340,2024-02-01
3.976425015926361,18033,2024-03-01
4.3609090718356045,77579,2024-04-01
4.775068218057806,19419,2024-05-01
4.523131571317974,43154,2024-06-01
4.352477247064764,14837,2024-07-01
4.095613631335172,38667,2024-08-01
4.232799959182739,13126,2024-09-01
4.384630452031675,12343,2024-10-01
4.174549961090088,58494,2024-11-01
4.108428569067092,20099,2024-12-01
4.248285725003197,11719,2025-01-01
4.551263181786788,35303,2025-02-01
4.912809553600493,17265,2025-03-01
4.642809504554386,32055,2025-04-01
4.64114286786034,20958,2025-05-01
4.877799987792969,33860,2025-06-01
5.428652162137239,21080,2025-07-01
4.440833318801153,45458,2025-08-01
4.6076189903985885,24264,2025-09-01
5.019847828408946,20185,2025-10-01
5.019552607285349,65833,2025-11-01
5.39881816777316,26700,2025-12-01
5.863749927944607,18021,2026-01-01
