name,address,phone,email,lat,lng,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,LinkedIn,Twitter,WhatsApp,YouTube,TikTok
"MECB Consulting ltd","Nalubuto Road, Rhodes Park, 28A Lubu Rd, Lusaka, Zambia","","",-15.4112431,28.3111817,"","Zambia","Lusaka Province","Lusaka",1,1,"","Companies","Companies","","","","","","",""
"Deekay Distributors Limited","G7W6+34F, Makeni Rd, Lusaka, Zambia","","",-15.4548146,28.2602911,"","Zambia","Lusaka Province","Lusaka",3.8,10,"","Companies","Companies","","","","","","",""
"SimatePhotography","","+260 97 6450322","smb_web@support.whatsapp.com",-15.4168298,28.343753,"https://wa.me/260976450322","Zambia","Lusaka Province","Lusaka",0,0,"","Photographers","Service establishments,Photographers,Companies","https://www.facebook.com/profile.php?id=100064758844406","https://www.instagram.com/whatsapp/?hl=en","","https://twitter.com/whatsapp","https://wa.me/260976450322","https://www.youtube.com/channel/UCAuerig2N-RZWJT8x75V9yw",""
"SmartStone Zambia","","+260 96 4062137","info@smartstone.co.za",-15.4168298,28.343753,"http://www.smartstone.co.za/","Zambia","Lusaka Province","Lusaka",0,0,"","Manufacturers","Service establishments,Manufacturers,Companies","https://www.facebook.com/SmartStoneSA/","https://www.instagram.com/smart_stone_sa/","","https://twitter.com/smartstonesa","","https://www.youtube.com/channel/UCH0bQFrvYbuCC7ZdZgIPVKQ?view_as=subscriber",""
"AfriDelivery","","+260 211 355 670","info@afridelivery.com",-15.4168298,28.343753,"https://afridelivery.com/","Zambia","Lusaka Province","Lusaka",3.5,102,"","Delivery services","Delivery services,Service establishments,Companies,Pizza deliveries","https://www.facebook.com/afrideliveryzambia/","https://www.instagram.com/afridelivery_zambia/","","https://twitter.com/AfriDelivery","","",""
"Tinashi Realz International","","+260 97 6391899","usersupport@boomplay.com",-15.4168298,28.343753,"https://www.boomplay.com/artists/35290423?srModel=COPYLINK&srList=WEB","Zambia","Lusaka Province","Lusaka",0,0,"","Artists","Service establishments,Companies,Artists","https://www.facebook.com/BoomplayMusic","https://www.instagram.com/boomplaymusic","","https://twitter.com/BoomplayMusic","","https://www.youtube.com/@BoomplayMusic",""
"Ballo Innovations","","+260 97 7179443","info@balloinnovations.com",-15.4168298,28.343753,"https://balloinnovations.com/","Zambia","Lusaka Province","Lusaka",0,0,"","Marketing agencies","Marketing agencies,Companies,Service establishments","https://www.facebook.com/profile.php?id=100087875482090&mibextid=LQQJ4d","https://instagram.com/ballo_zm?igshid=YmMyMTA2M2Y=","https://www.linkedin.com/company/ballo-innovations/","","","",""
"JOSHI ION EXCHANGE LTD","","+260 96 9113323","joshiionexchangeltd@gmail.com",-15.4241746,28.3441327,"http://www.waterfilterafrica.com/","Zambia","Lusaka Province","Lusaka",0,0,"","Water softening equipment suppliers","Companies,Water softening equipment suppliers,Service establishments","https://www.facebook.com/Water-Filter-Africa-104547148658453","https://www.instagram.com/africawaterfilters/","https://www.linkedin.com/in/kalpesh-joshi-zambia/","","","",""
"DS Wellness ZM","","+260 96 6625820","dswellness@gmail.com",-15.4168298,28.343753,"https://nyuwak.wixsite.com/dswellness","Zambia","Lusaka Province","Lusaka",0,0,"","Weight loss services","Companies,Wellness programs,Service establishments,Weight loss services","https://www.facebook.com/dswellnesszm","https://www.instagram.com/dswellnesszm/","","","https://wa.me/message/BKMTD7P2NUM2F1","",""
"Omni Vision Media","","+260 76 3555710","chileshe@omnivisionmedia.net",-15.4168298,28.343753,"https://www.omnivisionmedia.net/","Zambia","Lusaka Province","Lusaka",0,0,"","Advertising agencies","Companies,Advertising agencies,Service establishments","https://web.facebook.com/omnivisionmedia/","https://www.instagram.com/omv1980/","","","","",""
