name,address,phone,city,url,source,category,email
Seals for Africa - Security Seals & Strap Seals,"Plot No: 11293 Kabanana Area, Off Great North Road, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17714/Seals_for_Africa_Security_Seals_Strap_Seals,zambiayp.com,,
JEETECH ALU ENTERPRISES,"1A BENAKALE RD NORTHMEAD LUSAKA, Zambia",,lusaka,https://www.zambiayp.com/company/17980/JEETECH_ALU_ENTERPRISES,zambiayp.com,,
A to Z Solutions Ltd,"Box 356 Private Bag E017 Cross Roads Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17495/A_to_Z_Solutions_Ltd,zambiayp.com,,
Marketing Research Information Systems,"2nd Floor Woodgate House, Cairo  Road, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17308/Marketing_Research_Information_Systems,zambiayp.com,,
SINOTRUCK INTERNATIONAL CAPITAL,"Kabulonga Road，Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17711/SINOTRUCK_INTERNATIONAL_CAPITAL,zambiayp.com,,
Nature By Nature™,"Plot F/90A/43/CL #8 Great East Road,Opposite Zesco H.Q Thornpark,Lusaka,Zambia",,lusaka,https://www.zambiayp.com/company/17510/Nature_By_Nature,zambiayp.com,,
ProWeb Limited,"Spectrum House, Stand No. 10 Great East Road, Jesmondine, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/16226/ProWeb_Limited,zambiayp.com,,
Elikim painting pros and renovators,"Plot 3 Chelston, Mupeta Close Road Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/19221/Elikim_painting_pros_and_renovators,zambiayp.com,,
"Shoprite Zambia- Head Office Division, Job Vacancies","Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/3514/ShopriteHead_Office_Division,zambiayp.com,,
STAMP AFRICA LIMITED,"6694 Chiwalamabwe Road, Olympia Park, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17707/STAMP_AFRICA_LIMITED,zambiayp.com,,
Zafrik Consulting Group,"Head Office:70/15 Kangachepe road, P. O. Box 278, Makeni, Lusaka., Zambia",,lusaka,https://www.zambiayp.com/company/17698/Zafrik_Consulting_Group,zambiayp.com,,
Optimus Media,"Plot 8, Danny Pule Road, Mass Media, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17790/Optimus_Media,zambiayp.com,,
Move Us Zambia,"Plot No.6 Lutanda Flat, Kutwe Rd, Villa Elizabetha, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/18339/Move_Us_Zambia,zambiayp.com,,
Venture Connections Ltd - Zambia,"No.10 Church Road, Fairview, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17757/Venture_Connections_Ltd_Zambia,zambiayp.com,,
Yamfumu - Technology & Marketing Agency,"Manchinchi Road, Northmead., Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/18695/Yamfumu_Technology_Marketing_Agency,zambiayp.com,,
BCA Properties,"11965 Off Ngwerere Road, Ranchdale, Chelston, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17568/BCA_Properties,zambiayp.com,,
Airplus Refrigeration & Airconditioning (PTY) LTD,"Shop 1, Ibex Hub, Ibex Hill Road, Lusaka , Zambia",,lusaka,https://www.zambiayp.com/company/17191/Airplus_Refrigeration_Airconditioning_PTY_LTD,zambiayp.com,,
RelayTech suppliers and construction limited,"109a/a Katimamulilo rd Garden Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17662/RelayTech_suppliers_and_construction_limited,zambiayp.com,,
XpressWorld Research and Supply Ltd,"Gold Crest Mall, Ring Rd, Kamwala South, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17967/XpressWorld_Research_and_Supply_Ltd,zambiayp.com,,
Sibs Media,"Shop no. 14 M and M Center Chilenje, Lusaka, Zambia",,lusaka,https://www.zambiayp.com/company/17804/Sibs_Media,zambiayp.com,,
EUREKA TECH ZAMBIA,"127 Kalungwishi, Kitwe, Zambia",,kitwe,https://www.zambiayp.com/company/18072/EUREKA_TECH_ZAMBIA,zambiayp.com,,
Lunte Lodge,"Plot 29 Pamo Ave Central Town, P.O.Box 22993, Kitwe, Zambia",,kitwe,https://www.zambiayp.com/company/354/Lunte_Lodge,zambiayp.com,,
Stefanton Electric Limited,"Off Kabelenge Avenue, Behind Kachema Meats, Town Centre, Kitwe, Zambia",,kitwe,https://www.zambiayp.com/company/17389/Stefanton_Electric_Limited,zambiayp.com,,
T K Business Ventures,"3045 NKANA EAST MWAISENE , Kitwe, Zambia",,kitwe,https://www.zambiayp.com/company/17546/T_K_BUSINESS_VENTURES,zambiayp.com,,
AABrick Zambia Limited,"Plot No 1411G. Off Ndola-Kitwe Dual Carriage Way,  , Zambia",,kitwe,https://www.zambiayp.com/company/19468/AABrick_Zambia_Limited,zambiayp.com,,
BRIGHT HAND INNOATION,"Kopa St, Kitwe, Zambia",,kitwe,https://www.zambiayp.com/company/19469/BRIGHT_HAND_INNOATION,zambiayp.com,,
PESA Consulting & Investigations,"3808 Jacaranda Drive Buyantashi, Kitwe, Zambia",,kitwe,https://www.zambiayp.com/company/17508/PESA_Consulting_INvestigations,zambiayp.com,,
Reeken Civils and Logistics Limited,"Nkana East , Kitwe, Zambia",,kitwe,https://www.zambiayp.com/company/19494/Reeken_Civils_and_Logistics_Limited,zambiayp.com,,
iO Myra Africa,"Y632 Chimwemwe North, Kitwe, Zambia",,kitwe,https://www.zambiayp.com/company/17903/iO_Myra_Africa,zambiayp.com,,
